Loaded 540 test conversations
[106/540] amazonhelp_029514... -> ORDER_MODIFY
[107/540] amazonhelp_030080... -> ORDER_STATUS
[108/540] amazonhelp_030619... -> ORDER_STATUS
[109/540] amazonhelp_030736... -> ORDER_STATUS
[110/540] amazonhelp_030763... -> ORDER_STATUS
[111/540] amazonhelp_031146... -> DELIVERY_LATE
[112/540] amazonhelp_031277... -> ORDER_STATUS
[113/540] amazonhelp_032846... -> ORDER_MODIFY
[114/540] amazonhelp_033042... -> ACCOUNT_ACCESS
[115/540] amazonhelp_033152... -> ORDER_STATUS
[116/540] amazonhelp_033325... -> ORDER_MODIFY
[117/540] amazonhelp_033808... -> ORDER_MODIFY
[118/540] amazonhelp_033857... -> OTHER
[119/540] amazonhelp_033960... -> ACCOUNT_ACCESS
[120/540] amazonhelp_034236... -> ORDER_STATUS

--- Pause at 120 ---
[121/540] amazonhelp_034305... -> ACCOUNT_ACCESS
[122/540] amazonhelp_034601... -> PRODUCT_ISSUE
[123/540] amazonhelp_034837... -> DELIVERY_LATE
[124/540] amazonhelp_035015... -> DELIVERY_LATE
[125/540] amazonhelp_035079... -> ORDER_STATUS
[126/540] amazonhelp_035267... -> RETURN_REQUEST
[127/540] amazonhelp_035425... -> APP_USAGE
[128/540] amazonhelp_035660... -> RETURN_REQUEST
[129/540] amazonhelp_035812... -> ORDER_MODIFY
[130/540] amazonhelp_035907... -> ORDER_STATUS
[131/540] amazonhelp_036194... -> ORDER_MODIFY
[132/540] amazonhelp_036221... -> DELIVERY_LATE
[133/540] amazonhelp_036322... -> ORDER_STATUS
[134/540] amazonhelp_036478... -> PAYMENT_ISSUE
[135/540] amazonhelp_036573... -> ORDER_MODIFY
[136/540] amazonhelp_037160... -> DELIVERY_LATE
[137/540] amazonhelp_037995... -> PRODUCT_ISSUE
[138/540] amazonhelp_038139... -> ACCOUNT_ACCESS
[139/540] amazonhelp_038591... -> ORDER_MODIFY
[140/540] amazonhelp_038645... -> DELIVERY_LATE
[141/540] amazonhelp_038790... -> ORDER_MODIFY
[142/540] amazonhelp_039079... -> OTHER
[143/540] amazonhelp_039285... -> ORDER_STATUS
[144/540] amazonhelp_039339... -> ORDER_STATUS
[145/540] amazonhelp_039413... -> ORDER_STATUS
[146/540] amazonhelp_039476... -> DELIVERY_LATE
[147/540] amazonhelp_039618... -> DELIVERY_LATE
[148/540] amazonhelp_039874... -> ORDER_MODIFY
[149/540] amazonhelp_040143... -> APP_USAGE
[150/540] amazonhelp_040428... -> ORDER_MODIFY
[151/540] amazonhelp_040710... -> PAYMENT_ISSUE
[152/540] amazonhelp_041137... -> DELIVERY_MISSING
[153/540] amazonhelp_041262... -> ORDER_STATUS
[154/540] amazonhelp_041431... -> DELIVERY_MISSING
[155/540] amazonhelp_041849... -> ACCOUNT_ACCESS
[156/540] amazonhelp_042597... -> ORDER_STATUS
[157/540] amazonhelp_042915... -> DELIVERY_LATE
[158/540] amazonhelp_043126... -> DELIVERY_MISSING
[159/540] amazonhelp_043250... -> ORDER_STATUS
[160/540] amazonhelp_043407... -> OTHER
[161/540] amazonhelp_043625... -> APP_USAGE
[162/540] amazonhelp_043987... -> ORDER_MODIFY
[163/540] amazonhelp_044006... -> DELIVERY_LATE
[164/540] amazonhelp_044064... -> OTHER
[165/540] amazonhelp_045271... -> OTHER
[166/540] amazonhelp_046064... -> DELIVERY_MISSING
[167/540] amazonhelp_046123... -> ORDER_MODIFY
[168/540] amazonhelp_046260... -> ACCOUNT_ACCESS
[169/540] amazonhelp_046285... -> APP_USAGE
[170/540] amazonhelp_046582... -> ORDER_STATUS
[171/540] amazonhelp_046907... -> ORDER_STATUS
[172/540] amazonhelp_047578... -> DELIVERY_MISSING
[173/540] amazonhelp_047601... -> ORDER_MODIFY
[174/540] amazonhelp_048318... -> ORDER_STATUS
[175/540] amazonhelp_048576... -> DELIVERY_MISSING
[176/540] amazonhelp_048712... -> ORDER_MODIFY
[177/540] amazonhelp_048847... -> ORDER_MODIFY
[178/540] amazonhelp_048939... -> DELIVERY_MISSING
[179/540] amazonhelp_049149... -> ORDER_STATUS
[180/540] amazonhelp_049566... -> ORDER_STATUS

--- Pause at 180 ---
[181/540] amazonhelp_049715... -> ORDER_MODIFY
[182/540] amazonhelp_050731... -> REFUND_REQUEST
[183/540] amazonhelp_050754... -> DELIVERY_LATE
[184/540] amazonhelp_050756... -> OTHER
[185/540] amazonhelp_051058... -> DELIVERY_LATE
[186/540] amazonhelp_051452... -> ORDER_MODIFY
[187/540] amazonhelp_051459... -> ORDER_STATUS
[188/540] amazonhelp_051894... -> ORDER_MODIFY
[189/540] amazonhelp_052667... -> PRODUCT_ISSUE
[190/540] amazonhelp_052886... -> ORDER_MODIFY
[191/540] amazonhelp_053203... -> ORDER_MODIFY
[192/540] amazonhelp_053521... -> ORDER_MODIFY
[193/540] amazonhelp_053556... -> ORDER_STATUS
[194/540] amazonhelp_053992... -> ORDER_STATUS
[195/540] amazonhelp_054101... -> RETURN_REQUEST
[196/540] amazonhelp_055100... -> PRODUCT_ISSUE
[197/540] amazonhelp_055232... -> ORDER_STATUS
[198/540] amazonhelp_055234... -> ORDER_MODIFY
[199/540] amazonhelp_055235... -> PRODUCT_ISSUE
[200/540] amazonhelp_055799... -> ORDER_MODIFY
[201/540] amazonhelp_055904... -> ORDER_STATUS
[202/540] amazonhelp_056105... -> ORDER_STATUS
[203/540] amazonhelp_056368... -> ACCOUNT_ACCESS
[204/540] amazonhelp_056802... -> APP_USAGE
[205/540] amazonhelp_056904... -> ORDER_MODIFY
[206/540] amazonhelp_057088... -> ORDER_STATUS
[207/540] amazonhelp_057274... -> ORDER_STATUS
[208/540] amazonhelp_057335... -> ORDER_MODIFY
[209/540] amazonhelp_057696... -> ORDER_STATUS
[210/540] amazonhelp_057893... -> ORDER_STATUS
[211/540] amazonhelp_058000... -> DELIVERY_LATE
[212/540] amazonhelp_058376... -> ORDER_MODIFY
[213/540] amazonhelp_058474... -> ORDER_STATUS
[214/540] amazonhelp_058666... -> DELIVERY_LATE
[215/540] amazonhelp_060097... -> ORDER_STATUS
[216/540] amazonhelp_060462... -> VIDEO_STREAMING
[217/540] amazonhelp_060499... -> ORDER_MODIFY
[218/540] amazonhelp_061047... -> ORDER_STATUS
[219/540] amazonhelp_061078... -> ORDER_MODIFY
[220/540] amazonhelp_062436... -> ORDER_STATUS
[221/540] amazonhelp_062473... -> DEVICE_ISSUE
[222/540] amazonhelp_063139... -> OTHER
[223/540] amazonhelp_063216... -> APP_USAGE
[224/540] amazonhelp_064220... -> DELIVERY_LATE
[225/540] amazonhelp_064362... -> ORDER_STATUS
[226/540] amazonhelp_064538... -> APP_USAGE
[227/540] amazonhelp_065180... -> PRODUCT_ISSUE
[228/540] amazonhelp_065374... -> DEVICE_ISSUE
[229/540] amazonhelp_065755... -> ORDER_MODIFY
[230/540] amazonhelp_065905... -> ORDER_MODIFY
[231/540] amazonhelp_066175... -> ORDER_STATUS
[232/540] amazonhelp_066915... -> DELIVERY_LATE
[233/540] amazonhelp_067479... -> RETURN_REQUEST
[234/540] amazonhelp_067674... -> ORDER_MODIFY
[235/540] amazonhelp_067703... -> OTHER
[236/540] amazonhelp_067711... -> ORDER_STATUS
[237/540] amazonhelp_067918... -> PAYMENT_ISSUE
[238/540] amazonhelp_067975... -> ORDER_STATUS
[239/540] amazonhelp_068030... -> DELIVERY_LATE
[240/540] amazonhelp_068531... -> ORDER_MODIFY

--- Pause at 240 ---
[241/540] amazonhelp_068736... -> ORDER_STATUS
[242/540] amazonhelp_068999... -> DELIVERY_MISSING
[243/540] amazonhelp_069293... -> ORDER_STATUS
[244/540] amazonhelp_069366... -> DEVICE_ISSUE
[245/540] amazonhelp_070538... -> DELIVERY_MISSING
[246/540] amazonhelp_070644... -> RETURN_REQUEST
[247/540] amazonhelp_070705... -> ACCOUNT_ACCESS
[248/540] amazonhelp_071203... -> PRODUCT_ISSUE
[249/540] amazonhelp_071397... -> ORDER_STATUS
[250/540] amazonhelp_071781... -> ORDER_STATUS
[251/540] amazonhelp_072249... -> ORDER_MODIFY
[252/540] amazonhelp_072696... -> ACCOUNT_ACCESS
[253/540] amazonhelp_072918... -> DELIVERY_MISSING
[254/540] amazonhelp_073655... -> ORDER_MODIFY
[255/540] amazonhelp_073996... -> DELIVERY_LATE
[256/540] amazonhelp_074216... -> ORDER_MODIFY
[257/540] amazonhelp_074438... -> APP_USAGE
[258/540] amazonhelp_074830... -> OTHER
[259/540] amazonhelp_074935... -> OTHER
[260/540] amazonhelp_075953... -> APP_USAGE
[261/540] amazonhelp_076359... -> ORDER_STATUS
[262/540] amazonhelp_076529... -> OTHER
[263/540] amazonhelp_077204... -> DELIVERY_LATE
[264/540] amazonhelp_077653... -> APP_USAGE
[265/540] amazonhelp_078065... -> APP_USAGE
[266/540] amazonhelp_078188... -> DELIVERY_MISSING
[267/540] amazonhelp_078554... -> ORDER_STATUS
[268/540] amazonhelp_078660... -> ORDER_MODIFY
[269/540] amazonhelp_078917... -> OTHER
[270/540] amazonhelp_079167... -> DELIVERY_LATE
[271/540] amazonhelp_079396... -> ORDER_MODIFY
[272/540] amazonhelp_079834... -> ORDER_MODIFY
[273/540] amazonhelp_079872... -> APP_USAGE
[274/540] amazonhelp_080321... -> ORDER_STATUS
[275/540] amazonhelp_080505... -> DELIVERY_LATE
[276/540] amazonhelp_080571... -> DELIVERY_LATE
[277/540] amazonhelp_080857... -> ORDER_STATUS
[278/540] amazonhelp_080959... -> ORDER_STATUS
[279/540] amazonhelp_081036... -> ACCOUNT_ACCESS
[280/540] amazonhelp_081358... -> ORDER_STATUS
[281/540] amazonhelp_081933... -> ORDER_STATUS
[282/540] amazonhelp_082992... -> ORDER_STATUS
[283/540] amazonhelp_083627... -> ORDER_STATUS
[284/540] amazonhelp_083638... -> ORDER_STATUS
[285/540] amazonhelp_083916... -> DELIVERY_MISSING
[286/540] amazonhelp_083976... -> DELIVERY_MISSING
[287/540] amazonhelp_084110... -> APP_USAGE
[288/540] amazonhelp_084122... -> ORDER_STATUS
[289/540] amazonhelp_084933... -> ORDER_MODIFY
[290/540] amazonhelp_085285... -> ORDER_MODIFY
[291/540] amazonhelp_085309... -> DELIVERY_LATE
[292/540] amazonhelp_085616... -> PRODUCT_ISSUE
[293/540] amazonhelp_086721... -> ORDER_STATUS
[294/540] amazonhelp_086891... -> PAYMENT_ISSUE
[295/540] amazonhelp_087273... -> OTHER
[296/540] amazonhelp_087361... -> ORDER_MODIFY
[297/540] amazonhelp_087446... -> ORDER_STATUS
[298/540] amazonhelp_087872... -> PRODUCT_ISSUE
[299/540] amazonhelp_087899... -> ORDER_STATUS
[300/540] amazonhelp_088598... -> ORDER_MODIFY

--- Pause at 300 ---
[301/540] amazonhelp_088907... -> ORDER_STATUS
[302/540] amazonhelp_090052... -> ORDER_MODIFY
[303/540] amazonhelp_090187... -> ORDER_STATUS
[304/540] amazonhelp_090967... -> DELIVERY_MISSING
[305/540] amazonhelp_091424... -> ORDER_MODIFY
[306/540] amazonhelp_091678... -> ORDER_STATUS
[307/540] amazonhelp_091894... -> OTHER
[308/540] amazonhelp_092026... -> RETURN_REQUEST
[309/540] amazonhelp_092141... -> DELIVERY_LATE
[310/540] amazonhelp_092928... -> OTHER
[311/540] amazonhelp_093020... -> DELIVERY_LATE
[312/540] amazonhelp_093209... -> DELIVERY_LATE
[313/540] amazonhelp_093478... -> ORDER_STATUS
[314/540] amazonhelp_093876... -> ORDER_STATUS
[315/540] amazonhelp_094382... -> DELIVERY_TRACKING
[316/540] amazonhelp_094508... -> ORDER_MODIFY
[317/540] amazonhelp_094532... -> ORDER_STATUS
[318/540] amazonhelp_094587... -> APP_USAGE
[319/540] amazonhelp_094723... -> ORDER_MODIFY
[320/540] amazonhelp_094754... -> APP_USAGE
[321/540] amazonhelp_094756... -> ACCOUNT_ACCESS
[322/540] amazonhelp_095375... -> ORDER_STATUS
[323/540] amazonhelp_095455... -> APP_USAGE
[324/540] amazonhelp_095469... -> DELIVERY_MISSING
[325/540] amazonhelp_095529... -> DELIVERY_LATE
[326/540] amazonhelp_095815... -> ORDER_MODIFY
[327/540] amazonhelp_095950... -> ACCOUNT_ACCESS
[328/540] amazonhelp_096340... -> APP_USAGE
[329/540] amazonhelp_096352... -> ORDER_MODIFY
[330/540] amazonhelp_096358... -> ORDER_STATUS
[331/540] amazonhelp_097347... -> ORDER_STATUS
[332/540] amazonhelp_097564... -> ORDER_MODIFY
[333/540] amazonhelp_098783... -> APP_USAGE
[334/540] amazonhelp_098928... -> APP_USAGE
[335/540] amazonhelp_099025... -> PRODUCT_ISSUE
[336/540] amazonhelp_099122... -> ORDER_MODIFY
[337/540] amazonhelp_099261... -> APP_USAGE
[338/540] amazonhelp_099830... -> ORDER_MODIFY
[339/540] amazonhelp_099841... -> ORDER_STATUS
[340/540] amazonhelp_099974... -> DELIVERY_MISSING
[341/540] amazonhelp_100194... -> OTHER
[342/540] amazonhelp_100727... -> DEVICE_ISSUE
[343/540] amazonhelp_101431... -> ORDER_MODIFY
[344/540] amazonhelp_101575... -> ORDER_STATUS
[345/540] amazonhelp_102084... -> ORDER_STATUS
[346/540] amazonhelp_102319... -> DELIVERY_MISSING
[347/540] amazonhelp_103262... -> DELIVERY_LATE
[348/540] amazonhelp_103403... -> ORDER_MODIFY
[349/540] amazonhelp_103514... -> ACCOUNT_ACCESS
[350/540] amazonhelp_104211... -> ORDER_MODIFY
[351/540] amazonhelp_104228... -> DELIVERY_MISSING
[352/540] amazonhelp_104490... -> ORDER_STATUS
[353/540] amazonhelp_104788... -> OTHER
[354/540] amazonhelp_104789... -> OTHER
[355/540] amazonhelp_104893... -> OTHER
[356/540] amazonhelp_105193... -> PRODUCT_ISSUE
[357/540] amazonhelp_105275... -> DELIVERY_LATE
[358/540] amazonhelp_105294... -> ORDER_STATUS
[359/540] amazonhelp_105307... -> ORDER_STATUS
[360/540] amazonhelp_106179... -> ORDER_STATUS

--- Pause at 360 ---
[361/540] amazonhelp_106226... -> DELIVERY_LATE
[362/540] amazonhelp_106928... -> ORDER_STATUS
[363/540] amazonhelp_108078... -> PRODUCT_ISSUE
[364/540] amazonhelp_108715... -> PRODUCT_ISSUE
[365/540] amazonhelp_108818... -> DELIVERY_MISSING
[366/540] amazonhelp_108827... -> PRODUCT_ISSUE
[367/540] amazonhelp_108994... -> ORDER_STATUS
[368/540] amazonhelp_109049... -> ORDER_STATUS
[369/540] amazonhelp_109058... -> ORDER_STATUS
[370/540] amazonhelp_109254... -> ORDER_MODIFY
[371/540] amazonhelp_109328... -> DELIVERY_LATE
[372/540] amazonhelp_109859... -> ORDER_STATUS
[373/540] amazonhelp_109953... -> APP_USAGE
[374/540] amazonhelp_109966... -> DELIVERY_MISSING
[375/540] amazonhelp_110213... -> PAYMENT_ISSUE
[376/540] amazonhelp_110414... -> DELIVERY_LATE
[377/540] amazonhelp_110419... -> DELIVERY_LATE
[378/540] amazonhelp_110619... -> DELIVERY_LATE
[379/540] amazonhelp_111563... -> DELIVERY_MISSING
[380/540] amazonhelp_111761... -> PAYMENT_ISSUE
[381/540] amazonhelp_112124... -> ORDER_STATUS
[382/540] amazonhelp_112251... -> DELIVERY_MISSING
[383/540] amazonhelp_112813... -> DELIVERY_LATE
[384/540] amazonhelp_113056... -> PAYMENT_ISSUE
[385/540] amazonhelp_113116... -> ORDER_MODIFY
[386/540] amazonhelp_113150... -> OTHER
[387/540] amazonhelp_113298... -> ORDER_STATUS
[388/540] amazonhelp_114183... -> ORDER_STATUS
[389/540] amazonhelp_114816... -> ORDER_MODIFY
[390/540] amazonhelp_114843... -> PAYMENT_ISSUE
[391/540] amazonhelp_115316... -> ORDER_STATUS
[392/540] amazonhelp_115547... -> DELIVERY_LATE
[393/540] amazonhelp_115856... -> APP_USAGE
[394/540] amazonhelp_115953... -> DELIVERY_MISSING
[395/540] amazonhelp_115958... -> OTHER
[396/540] amazonhelp_116154... -> APP_USAGE
[397/540] amazonhelp_116562... -> OTHER
[398/540] amazonhelp_116667... -> DELIVERY_MISSING
[399/540] amazonhelp_116908... -> APP_USAGE
[400/540] amazonhelp_117121... -> DEVICE_ISSUE
[401/540] amazonhelp_117611... -> APP_USAGE
[402/540] amazonhelp_117662... -> DELIVERY_LATE
[403/540] amazonhelp_117717... -> ORDER_MODIFY
[404/540] amazonhelp_117849... -> PAYMENT_ISSUE
[405/540] amazonhelp_117874... -> RETURN_REQUEST
[406/540] amazonhelp_118100... -> ORDER_STATUS
[407/540] amazonhelp_118446... -> ORDER_STATUS
[408/540] amazonhelp_118783... -> ORDER_MODIFY
[409/540] amazonhelp_119693... -> ORDER_STATUS
[410/540] amazonhelp_119697... -> ORDER_MODIFY
[411/540] amazonhelp_120097... -> ORDER_MODIFY
[412/540] amazonhelp_120216... -> OTHER
[413/540] amazonhelp_121157... -> OTHER
[414/540] amazonhelp_121754... -> ORDER_STATUS
[415/540] amazonhelp_121800... -> ORDER_STATUS
[416/540] amazonhelp_122044... -> ORDER_STATUS
[417/540] amazonhelp_122825... -> DELIVERY_LATE
[418/540] amazonhelp_123118... -> DELIVERY_MISSING
[419/540] amazonhelp_123703... -> ORDER_MODIFY
[420/540] amazonhelp_123714... -> PAYMENT_ISSUE

--- Pause at 420 ---
[421/540] amazonhelp_124427... -> ORDER_MODIFY
[422/540] amazonhelp_124930... -> PRODUCT_ISSUE
[423/540] amazonhelp_125274... -> ACCOUNT_ACCESS
[424/540] amazonhelp_125446... -> ORDER_MODIFY
[425/540] amazonhelp_125806... -> OTHER
[426/540] amazonhelp_125911... -> APP_USAGE
[427/540] amazonhelp_126499... -> ORDER_MODIFY
[428/540] amazonhelp_126590... -> APP_USAGE
[429/540] amazonhelp_127111... -> DELIVERY_MISSING
[430/540] amazonhelp_127122... -> ORDER_STATUS
[431/540] amazonhelp_127256... -> ORDER_STATUS
[432/540] amazonhelp_127373... -> DELIVERY_LATE
[433/540] amazonhelp_127376... -> DELIVERY_LATE
[434/540] amazonhelp_127517... -> ORDER_MODIFY
[435/540] amazonhelp_127767... -> ORDER_MODIFY
[436/540] amazonhelp_127852... -> ORDER_STATUS
[437/540] amazonhelp_128098... -> REFUND_REQUEST
[438/540] amazonhelp_128202... -> ORDER_MODIFY
[439/540] amazonhelp_128451... -> ORDER_STATUS
[440/540] amazonhelp_128618... -> ORDER_MODIFY
[441/540] amazonhelp_129038... -> APP_USAGE
[442/540] amazonhelp_129221... -> ORDER_STATUS
[443/540] amazonhelp_129468... -> DELIVERY_LATE
[444/540] amazonhelp_129627... -> RETURN_REQUEST
[445/540] amazonhelp_129705... -> ORDER_MODIFY
[446/540] amazonhelp_129804... -> ORDER_MODIFY
[447/540] amazonhelp_130278... -> APP_USAGE
[448/540] amazonhelp_130380... -> REFUND_REQUEST
[449/540] amazonhelp_130630... -> ORDER_MODIFY
[450/540] amazonhelp_130981... -> ACCOUNT_ACCESS
[451/540] amazonhelp_131022... -> ORDER_MODIFY
[452/540] amazonhelp_131143... -> ORDER_MODIFY
[453/540] amazonhelp_131221... -> ORDER_STATUS
[454/540] amazonhelp_131429... -> ORDER_MODIFY
[455/540] amazonhelp_131541... -> ORDER_MODIFY
[456/540] amazonhelp_132432... -> ORDER_STATUS
[457/540] amazonhelp_132789... -> APP_USAGE
[458/540] amazonhelp_132843... -> ORDER_STATUS
[459/540] amazonhelp_133009... -> ORDER_STATUS
[460/540] amazonhelp_133084... -> REFUND_REQUEST
[461/540] amazonhelp_133097... -> PRODUCT_ISSUE
[462/540] amazonhelp_133101... -> ACCOUNT_ACCESS
[463/540] amazonhelp_133105... -> DELIVERY_LATE
[464/540] amazonhelp_133109... -> DELIVERY_LATE
[465/540] amazonhelp_133192... -> DELIVERY_LATE
[466/540] amazonhelp_133210... -> ORDER_STATUS
[467/540] amazonhelp_133259... -> OTHER
[468/540] amazonhelp_133604... -> REFUND_REQUEST
[469/540] amazonhelp_133660... -> DELIVERY_LATE
[470/540] amazonhelp_134317... -> DELIVERY_LATE
[471/540] amazonhelp_134412... -> ORDER_STATUS
[472/540] amazonhelp_134637... -> ORDER_MODIFY
[473/540] amazonhelp_134724... -> ORDER_MODIFY
[474/540] amazonhelp_134959... -> ORDER_STATUS
[475/540] amazonhelp_134990... -> ORDER_MODIFY
[476/540] amazonhelp_135275... -> DELIVERY_MISSING
[477/540] amazonhelp_135295... -> ORDER_MODIFY
[478/540] amazonhelp_135506... -> ORDER_MODIFY
[479/540] amazonhelp_135737... -> ORDER_MODIFY
[480/540] amazonhelp_135886... -> APP_USAGE

--- Pause at 480 ---
[481/540] amazonhelp_135968... -> ACCOUNT_ACCESS
[482/540] amazonhelp_136005... -> DELIVERY_LATE
[483/540] amazonhelp_136599... -> PRODUCT_ISSUE
[484/540] amazonhelp_137116... -> APP_USAGE
[485/540] amazonhelp_137223... -> ORDER_STATUS
[486/540] amazonhelp_137322... -> ORDER_MODIFY
[487/540] amazonhelp_137394... -> DELIVERY_LATE
[488/540] amazonhelp_137410... -> ORDER_MODIFY
[489/540] amazonhelp_137684... -> PRODUCT_ISSUE
[490/540] amazonhelp_137738... -> APP_USAGE
[491/540] amazonhelp_137841... -> ORDER_MODIFY
[492/540] amazonhelp_138087... -> DELIVERY_MISSING
[493/540] amazonhelp_138563... -> DELIVERY_LATE
[494/540] amazonhelp_138799... -> ORDER_MODIFY
[495/540] amazonhelp_138817... -> PAYMENT_ISSUE
[496/540] amazonhelp_139380... -> ORDER_STATUS
[497/540] amazonhelp_140091... -> APP_USAGE
[498/540] amazonhelp_140353... -> ORDER_STATUS
[499/540] amazonhelp_140683... -> ACCOUNT_ACCESS
[500/540] amazonhelp_141720... -> ORDER_STATUS
[501/540] amazonhelp_142136... -> DELIVERY_LATE
[502/540] amazonhelp_143227... -> DELIVERY_MISSING
[503/540] amazonhelp_143309... -> ORDER_STATUS
[504/540] amazonhelp_143508... -> ORDER_STATUS
